residual_growth_fraction	N_fraction_of_qref	NH4_capacity	condition_max_growth_h-1	max_PHB_flux_mmol_lump_gDW_h	PHB_mass_rate_g_gDW_h
0.05	1.1	3.3155800861810003	0.29023438580320426	0.834161379603536	0.28725181268027367
0.05	1.125	3.39093417904875	0.2902343858032055	0.8341613796035396	0.2872518126802749
0.05	1.15	3.4662882719164996	0.29023438580320426	0.834161379603536	0.28725181268027367
0.05	1.1749999999999998	3.5416423647842494	0.2902343858032055	0.8341613796035396	0.2872518126802749
0.05	1.2	3.6169964576519997	0.29023438580320426	0.834161379603536	0.28725181268027367
0.1	0.0	0.0	-4.4242083039296706e-16		
0.1	0.0249999999999999	0.0753540928677497	0.007183301048628411	0.8729784882903647	0.30061887222767003
0.1	0.0499999999999999	0.15070818573549968	0.014366602097272994	0.8709569765807628	0.2999227444553515
0.1	0.075	0.22606227860324998	0.02154990314591148	0.8689354648711402	0.29922661668302586
0.1	0.0999999999999999	0.3014163714709997	0.02873320419454997	0.8669139531615122	0.29853048891069833
0.1	0.1249999999999999	0.3767704643387497	0.03591650524318857	0.8648924414518914	0.2978343611383733
0.1	0.15	0.45212455720649997	0.04309980629182706	0.8628709297422583	0.29713823336604406
0.1	0.175	0.52747865007425	0.050283107340465656	0.8608494180326292	0.2964421055937162
0.1	0.1999999999999999	0.6028327429419997	0.05746640838910414	0.8588279063230048	0.29574597782138995
0.1	0.2249999999999999	0.6781868358097497	0.06464970943774263	0.8568063946133782	0.2950498500490629
0.1	0.2499999999999999	0.7535409286774997	0.07183301048638123	0.8547848829037452	0.29435372227673373
0.1	0.2749999999999999	0.8288950215452497	0.07901631153501971	0.8527633711941204	0.2936575945044073
0.1	0.3	0.9042491144129999	0.08619961258365831	0.8507418594844911	0.29296146673207935
0.1	0.3249999999999999	0.9796032072807497	0.09338291363229681	0.8487203477748653	0.29226533895975265
0.1	0.35	1.0549573001485	0.1005662146809354	0.8466988360652401	0.2915692111874261
0.1	0.3749999999999999	1.1303113930162496	0.10774951572957389	0.8446773243556116	0.29087308341509843
0.1	0.3999999999999999	1.2056654858839997	0.11493281677821238	0.8426558126459834	0.29017695564277085
0.1	0.425	1.28101957875175	0.12211611782685099	0.8406343009363529	0.2894808278704425
0.1	0.4499999999999999	1.3563736716194996	0.12929941887548946	0.8386127892267247	0.2887847000981149
0.1	0.475	1.43172776448725	0.13648271992412805	0.8365912775170977	0.2880885723257878
0.1	0.4999999999999999	1.5070818573549996	0.14366602097276654	0.8345697658074698	0.2873924445534603
0.1	0.5249999999999999	1.5824359502227496	0.15084932202140502	0.8325482540978427	0.2866963167811331
0.1	0.5499999999999999	1.6577900430904997	0.15803262307004362	0.830526742388219	0.28600018900880714
0.1	0.575	1.7331441359582498	0.1652159241186821	0.82850523067859	0.2853040612364793
0.1	0.6	1.8084982288259999	0.17239922516732073	0.8264837189689617	0.28460793346415164
0.1	0.625	1.88385232169375	0.17958252621595922	0.8244622072593256	0.2839118056918214
0.1	0.6499999999999999	1.9592064145614998	0.1867658272646002	0.8224406955496939	0.2832156779194926
0.1	0.6749999999999999	2.0345605074292497	0.1939491283132362	0.8204191838400714	0.282519550147167
0.1	0.7	2.109914600297	0.20113242936187686	0.8183976721304266	0.2818234223748337
0.1	0.725	2.18526869316475	0.20831573041051332	0.8163761604208003	0.28112729460250685
0.1	0.7499999999999999	2.2606227860324997	0.21549903145915358	0.8143546487111691	0.2804311668301782
0.1	0.7749999999999999	2.3359768789002495	0.22268233250779024	0.8123331370015491	0.27973503905785346
0.1	0.7999999999999999	2.411330971768	0.22986563355643044	0.8103116252919177	0.27903891128552477
0.1	0.825	2.4866850646357497	0.23704893460506735	0.808290113582292	0.2783427835131981
0.1	0.85	2.5620391575035	0.24423223565370716	0.8062686018726647	0.27764665574087083
0.1	0.8749999999999999	2.63739325037125	0.25141553670234446	0.8042470901630387	0.276950527968544
0.1	0.8999999999999999	2.7127473432389997	0.25859883775098397	0.80222557845341	0.2762544001962163
0.1	0.925	2.78810143610675	0.2657821387996215	0.8002040667437793	0.27555827242388786
0.1	0.95	2.8634555289745	0.2729654398482609	0.7981825550341575	0.27486214465156245
0.1	0.975	2.93880962184225	0.2801487408968986	0.7961610433245253	0.27416601687923353
0.1	1.0	3.01416371471	0.28733204194553774	0.7941395316149128	0.2734698891069114
0.1	1.025	3.08951780757775	0.2902343858032061	0.7933227592070748	0.27318862536054833
0.1	1.0499999999999998	3.1648719004454993	0.2902343858032091	0.793322759207074	0.273188625360548
0.1	1.075	3.24022599331325	0.2902343858032061	0.7933227592070748	0.27318862536054833
0.1	1.1	3.3155800861810003	0.2902343858032091	0.793322759207074	0.273188625360548
0.1	1.125	3.39093417904875	0.2902343858032061	0.7933227592070748	0.27318862536054833
0.1	1.15	3.4662882719164996	0.2902343858032091	0.793322759207074	0.273188625360548
0.1	1.1749999999999998	3.5416423647842494	0.2902343858032061	0.7933227592070748	0.27318862536054833
0.1	1.2	3.6169964576519997	0.2902343858032091	0.793322759207074	0.273188625360548
0.2	0.0	0.0	-4.092392681135019e-15		
0.2	0.0249999999999999	0.0753540928677497	0.007183301048654226	0.8709569765807558	0.29992274445534906
0.2	0.0499999999999999	0.15070818573549968	0.014366602097272994	0.8669139531615214	0.29853048891070155
0.2	0.075	0.22606227860324998	0.02154990314591148	0.862870929742262	0.2971382333660454
0.2	0.0999999999999999	0.3014163714709997	0.02873320419454997	0.8588279063229984	0.29574597782138773
0.2	0.1249999999999999	0.3767704643387497	0.03591650524318857	0.8547848829037432	0.29435372227673307
0.2	0.15	0.45212455720649997	0.04309980629182706	0.8507418594844983	0.2929614667320819
0.2	0.175	0.52747865007425	0.050283107340465656	0.8466988360652383	0.29156921118742546
0.2	0.1999999999999999	0.6028327429419997	0.05746640838910414	0.8426558126459776	0.29017695564276885
0.2	0.2249999999999999	0.6781868358097497	0.06464970943774263	0.8386127892267292	0.2887847000981165
0.2	0.2499999999999999	0.7535409286774997	0.07183301048638123	0.8345697658074746	0.2873924445534619
0.2	0.2749999999999999	0.8288950215452497	0.07901631153501971	0.8305267423882183	0.2860001890088069
0.2	0.3	0.9042491144129999	0.08619961258365831	0.8264837189689654	0.284607933464153
0.2	0.3249999999999999	0.9796032072807497	0.09338291363229681	0.8224406955497131	0.28321567791949925
0.2	0.35	1.0549573001485	0.1005662146809354	0.8183976721304594	0.28182342237484503
0.2	0.3749999999999999	1.1303113930162496	0.10774951572957389	0.8143546487111993	0.2804311668301886
