residual_growth_fraction_alpha	time_after_dual_limit_h	residual_growth_rate_h-1	PHB_capacity_g_gDW_h	relative_residual_biomass	relative_PHB_mass	PHB_wt_pct
0.0	16.6	0.0	0.3013150000000184	1.0	5.001829000000305	83.33841234063901
0.0	16.7	0.0	0.3013150000000184	1.0	5.031960500000307	83.42164210127123
0.0	16.8	0.0	0.3013150000000184	1.0	5.062092000000309	83.50404447837563
0.0	16.900000000000002	0.0	0.3013150000000184	1.0	5.092223500000311	83.58563174840928
0.0	17.0	0.0	0.3013150000000184	1.0	5.122355000000312	83.66641594615228
0.0	17.1	0.0	0.3013150000000184	1.0	5.152486500000315	83.74640887062574
0.0	17.2	0.0	0.3013150000000184	1.0	5.182618000000316	83.82562209083679
0.0	17.3	0.0	0.3013150000000184	1.0	5.212749500000318	83.90406695135626
0.0	17.400000000000002	0.0	0.3013150000000184	1.0	5.24288100000032	83.98175457773505
0.0	17.5	0.0	0.3013150000000184	1.0	5.273012500000322	84.05869588176417
0.0	17.6	0.0	0.3013150000000184	1.0	5.303144000000324	84.13490156658409
0.0	17.7	0.0	0.3013150000000184	1.0	5.333275500000325	84.21038213164816
0.0	17.8	0.0	0.3013150000000184	1.0	5.363407000000327	84.28514787754501
0.0	17.900000000000002	0.0	0.3013150000000184	1.0	5.3935385000003295	84.35920891068461
0.0	18.0	0.0	0.3013150000000184	1.0	5.423670000000331	84.43257514785242
0.0	18.1	0.0	0.3013150000000184	1.0	5.453801500000333	84.50525632063601
0.0	18.2	0.0	0.3013150000000184	1.0	5.483933000000334	84.57726197972822
0.0	18.3	0.0	0.3013150000000184	1.0	5.5140645000003365	84.6486014991109
0.0	18.400000000000002	0.0	0.3013150000000184	1.0	5.544196000000339	84.71928408012307
0.0	18.5	0.0	0.3013150000000184	1.0	5.57432750000034	84.78931875541723
0.0	18.6	0.0	0.3013150000000184	1.0	5.604459000000342	84.85871439280723
0.0	18.7	0.0	0.3013150000000184	1.0	5.634590500000344	84.9274796990116
0.0	18.8	0.0	0.3013150000000184	1.0	5.664722000000346	84.99562322329501
0.0	18.900000000000002	0.0	0.3013150000000184	1.0	5.694853500000348	85.06315336101159
0.0	19.0	0.0	0.3013150000000184	1.0	5.724985000000349	85.13007835705287
0.0	19.1	0.0	0.3013150000000184	1.0	5.7551165000003515	85.19640630920358
0.0	19.200000000000003	0.0	0.3013150000000184	1.0	5.785248000000354	85.26214517140792
0.0	19.3	0.0	0.3013150000000184	1.0	5.815379500000355	85.32730275694922
0.0	19.400000000000002	0.0	0.3013150000000184	1.0	5.845511000000357	85.39188674154569
0.0	19.5	0.0	0.3013150000000184	1.0	5.8756425000003585	85.45590466636466
0.0	19.6	0.0	0.3013150000000184	1.0	5.905774000000361	85.51936394095799
0.0	19.700000000000003	0.0	0.3013150000000184	1.0	5.935905500000363	85.58227184612092
0.0	19.8	0.0	0.3013150000000184	1.0	5.966037000000364	85.64463553667676
0.0	19.900000000000002	0.0	0.3013150000000184	1.0	5.996168500000366	85.70646204418965
0.0	20.0	0.0	0.3013150000000184	1.0	6.026300000000368	85.76775827960736
0.0	20.1	0.0	0.3013150000000184	1.0	6.05643150000037	85.82853103583662
0.0	20.200000000000003	0.0	0.3013150000000184	1.0	6.086563000000372	85.88878699025257
0.0	20.3	0.0	0.3013150000000184	1.0	6.116694500000373	85.9485327071445
0.0	20.400000000000002	0.0	0.3013150000000184	1.0	6.146826000000376	86.00777464009971
0.0	20.5	0.0	0.3013150000000184	1.0	6.176957500000377	86.0665191343275
0.0	20.6	0.0	0.3013150000000184	1.0	6.207089000000379	86.12477242892453
0.0	20.700000000000003	0.0	0.3013150000000184	1.0	6.237220500000381	86.18254065908387
0.0	20.8	0.0	0.3013150000000184	1.0	6.267352000000383	86.23982985824895
0.0	20.900000000000002	0.0	0.3013150000000184	1.0	6.297483500000385	86.29664596021426
0.0	21.0	0.0	0.3013150000000184	1.0	6.327615000000386	86.35299480117409
0.0	21.1	0.0	0.3013150000000184	1.0	6.357746500000388	86.408882121721
0.0	21.200000000000003	0.0	0.3013150000000184	1.0	6.3878780000003905	86.46431356879543
0.0	21.3	0.0	0.3013150000000184	1.0	6.418009500000392	86.51929469758771
0.0	21.400000000000002	0.0	0.3013150000000184	1.0	6.448141000000394	86.57383097339394
0.0	21.5	0.0	0.3013150000000184	1.0	6.478272500000395	86.62792777342699
0.0	21.6	0.0	0.3013150000000184	1.0	6.5084040000003975	86.68159038858394
0.0	21.700000000000003	0.0	0.3013150000000184	1.0	6.5385355000004	86.73482402517111
0.0	21.8	0.0	0.3013150000000184	1.0	6.568667000000401	86.78763380658778
0.0	21.900000000000002	0.0	0.3013150000000184	1.0	6.598798500000403	86.84002477497005
0.0	22.0	0.0	0.3013150000000184	1.0	6.6289300000004046	86.89200189279563
0.0	22.1	0.0	0.3013150000000184	1.0	6.659061500000407	86.94357004445067
0.0	22.200000000000003	0.0	0.3013150000000184	1.0	6.689193000000409	86.99473403775993
0.0	22.3	0.0	0.3013150000000184	1.0	6.71932450000041	87.045498605481
0.0	22.400000000000002	0.0	0.3013150000000184	1.0	6.7494560000004125	87.0958684067637
0.0	22.5	0.0	0.3013150000000184	1.0	6.779587500000414	87.14584802857547
0.0	22.6	0.0	0.3013150000000184	1.0	6.809719000000416	87.19544198709394
0.0	22.700000000000003	0.0	0.3013150000000184	1.0	6.839850500000418	87.24465472906726
0.0	22.8	0.0	0.3013150000000184	1.0	6.8699820000004195	87.29349063314316
0.0	22.900000000000002	0.0	0.3013150000000184	1.0	6.900113500000422	87.34195401116773
0.0	23.0	0.0	0.3013150000000184	1.0	6.930245000000423	87.39004910945441
0.0	23.1	0.0	0.3013150000000184	1.0	6.960376500000425	87.43778011002436
0.0	23.200000000000003	0.0	0.3013150000000184	1.0	6.990508000000427	87.48515113181857
0.0	23.3	0.0	0.3013150000000184	1.0	7.020639500000429	87.53216623188281
0.0	23.400000000000002	0.0	0.3013150000000184	1.0	7.050771000000431	87.57882940652583
0.0	23.5	0.0	0.3013150000000184	1.0	7.080902500000432	87.6251445924518
0.0	23.6	0.0	0.3013150000000184	1.0	7.111034000000434	87.67111566786743
0.0	23.700000000000003	0.0	0.3013150000000184	1.0	7.141165500000437	87.71674645356434
0.0	23.8	0.0	0.3013150000000184	1.0	7.171297000000438	87.7620407139779
0.0	23.900000000000002	0.0	0.3013150000000184	1.0	7.20142850000044	87.80700215822225
0.0	24.0	0.0	0.3013150000000184	1.0	7.2315600000004405	87.85163444110295
0.1	0.0	0.0143666020972685	0.2873924445531719	1.0	0.0	0.0
0.1	0.1	0.0143666020972685	0.2873924445531719	1.0014376927003927	0.028759898609614625	2.7916876191724844
0.1	0.2	0.0143666020972685	0.2873924445531719	1.0028774523610864	0.057561145115527415	5.428050737920904
0.1	0.30000000000000004	0.0143666020972685	0.2873924445531719	1.0043192819537345	0.08640379896330413	7.921698960533511
0.1	0.4	0.0143666020972685	0.2873924445531719	1.0057631844542632	0.11528791968397568	10.283912950837191
0.1	0.5	0.0143666020972685	0.2873924445531719	1.007209162842877	0.14421356689416698	12.52481501099963
