residual_growth_fraction	O2_fraction_of_qref	O2_capacity	condition_max_growth_h-1	max_PHB_flux_mmol_lump_gDW_h	max_PHB_mass_rate_g_gDW_h
0.1	0.975	4.664589830364751	0.28363218153115904	0.7951807397030766	0.2738284395241515
0.1	1.0	4.78419469781	0.28733204194534495	0.7941395316149618	0.2734698891069282
0.1	1.025	4.90379956525525	0.2902343858032072	0.7933227592070801	0.27318862536055005
0.1	1.05	5.0234044327005005	0.2902343858032071	0.7933227592070811	0.27318862536055044
0.1	1.075	5.14300930014575	0.2902343858032093	0.7933227592070753	0.2731886253605485
0.1	1.1	5.262614167591001	0.29023438580320926	0.7933227592070642	0.2731886253605446
0.1	1.125	5.38221903503625	0.2902343858032093	0.7933227592070753	0.2731886253605485
0.1	1.15	5.5018239024815	0.29023438580320926	0.7933227592070642	0.2731886253605446
0.1	1.175	5.621428769926751	0.2902343858032093	0.7933227592070753	0.2731886253605485
0.1	1.2000000000000002	5.741033637372001	0.29023438580320926	0.7933227592070642	0.2731886253605446
0.1	1.225	5.860638504817251	0.2902343858032093	0.7933227592070753	0.2731886253605485
0.1	1.25	5.980243372262501	0.29023438580320926	0.7933227592070642	0.2731886253605446
0.1	1.275	6.09984823970775	0.2902343858032093	0.7933227592070753	0.2731886253605485
0.1	1.3	6.219453107153001	0.29023438580320926	0.7933227592070642	0.2731886253605446
0.1	1.3250000000000002	6.339057974598251	0.2902343858032093	0.7933227592070753	0.2731886253605485
0.1	1.35	6.458662842043501	0.29023438580320926	0.7933227592070642	0.2731886253605446
0.1	1.375	6.578267709488751	0.2902343858032093	0.7933227592070753	0.2731886253605485
0.1	1.4	6.697872576934	0.29023438580320926	0.7933227592070642	0.2731886253605446
0.1	1.425	6.817477444379251	0.2902343858032093	0.7933227592070753	0.2731886253605485
0.1	1.4500000000000002	6.9370823118245015	0.29023438580320926	0.7933227592070642	0.2731886253605446
0.1	1.475	7.056687179269751	0.2902343858032093	0.7933227592070753	0.2731886253605485
0.1	1.5	7.176292046715	0.29023438580320926	0.7933227592070642	0.2731886253605446
0.2	0.0	0.0	-8.201231745757069e-14		
0.2	0.025	0.11960486744525001	0.10763452962009228	0.7008273072622465	0.2413368915288272
0.2	0.05	0.23920973489050001	0.1126444880755664	0.7090113677985642	0.24415515461511358
0.2	0.075	0.35881460233575	0.11765444653656351	0.7171954283307037	0.24697341769996115
0.2	0.1	0.47841946978100003	0.1226644049975631	0.7253794888628433	0.24979168078480873
0.2	0.125	0.59802433722625	0.12767436345856248	0.7335635493949975	0.25260994386966135
0.2	0.15	0.7176292046715	0.13268432191956117	0.7417476099271376	0.25542820695450913
0.2	0.175	0.83723407211675	0.13769428038056056	0.7499316704592787	0.25824647003935725
0.2	0.2	0.9568389395620001	0.14270423884155994	0.758115730991418	0.26106473312420475
0.2	0.225	1.0764438070072502	0.14771419730255936	0.7662997915235576	0.26388299620905237
0.2	0.25	1.1960486744525	0.15272415576355816	0.7744838520556997	0.26670125929390076
0.2	0.275	1.3156535418977502	0.15773411422455713	0.782667912587839	0.26951952237874827
0.2	0.3	1.435258409343	0.16274407268555616	0.7834017093593298	0.2697722126349788
0.2	0.325	1.5548632767882502	0.16775403114655507	0.7805819222934423	0.2688011907609698
0.2	0.35	1.6744681442335	0.17276398960755499	0.7777621352275522	0.2678301688869599
0.2	0.375	1.79407301167875	0.1777739480685541	0.7749423481616641	0.26685914701295066
0.2	0.4	1.9136778791240001	0.18278390652955323	0.7721225610957843	0.26588812513894433
0.2	0.425	2.0332827465692502	0.1877938649905524	0.769302774029899	0.264917103264936
0.2	0.45	2.1528876140145004	0.19280382345155153	0.7664829869640145	0.26394608139092807
0.2	0.475	2.27249248145975	0.1978137819125506	0.7636631998981281	0.2629750595169194
0.2	0.5	2.392097348905	0.20282374037354978	0.7608434128322417	0.26200403764291075
0.2	0.525	2.5117022163502503	0.2078336988345489	0.7580236257663512	0.2610330157689007
0.2	0.55	2.6313070837955004	0.2128436572955481	0.7552038387004691	0.2600619938948936
0.2	0.5750000000000001	2.7509119512407505	0.21785361575654724	0.7523840516345873	0.2590909720208865
0.2	0.6000000000000001	2.8705168186860006	0.2228635742175463	0.7495642645686996	0.2581199501468774
0.2	0.625	2.9901216861312503	0.22787353267854546	0.7467444775028197	0.257148928272871
0.2	0.65	3.1097265535765004	0.23288349113954457	0.7439246904369361	0.25617790639886334
0.2	0.675	3.2293314210217505	0.2378934496005432	0.7411049033710441	0.25520688452485274
0.2	0.7000000000000001	3.3489362884670006	0.2428400819857331	0.7383207585267101	0.2542481364062579
0.2	0.7250000000000001	3.4685411559122508	0.24663357738930208	0.7361856411686107	0.2535128873928228
0.2	0.75	3.5881460233575	0.250333437803489	0.7341032249923555	0.25279578655836754
0.2	0.775	3.70775089080275	0.2540332982176761	0.7320208088161202	0.25207868572391917
0.2	0.8	3.8273557582480002	0.2577331586318618	0.7299383926398723	0.2513615848894664
0.2	0.8250000000000001	3.9469606256932503	0.26143301904604505	0.7278559764636291	0.2506444840550153
0.2	0.8500000000000001	4.0665654931385005	0.2651328794602307	0.7257735602873848	0.24992738322056385
0.2	0.875	4.18617036058375	0.26883273987441797	0.7236911441111256	0.2492102823861072
0.2	0.9	4.305775228029001	0.2725326002886032	0.7216087279348792	0.248493181551655
0.2	0.925	4.42538009547425	0.27623246070278845	0.7195263117586448	0.24777608071720691
0.2	0.95	4.5449849629195	0.27993232111697475	0.7174438955824052	0.24705897988275705
0.2	0.975	4.664589830364751	0.28363218153115893	0.7153614794061457	0.24634187904830035
