gene_id	associated_reactions	raw_candidate_categories	final_category	evidence_source	assignment_rule	growth_WT_h-1	growth_KO_h-1	growth_ratio
EHJ91964_1	IPPMIa;IPPMIb	Central carbon metabolism	Central carbon metabolism	reaction name: malate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	2.483054497144862e-16	8.55534222891332e-16
EHJ91965_1	IPPMIa;IPPMIb	Central carbon metabolism	Central carbon metabolism	reaction name: malate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	0.0	0.0
EHJ93140_1	ADSL1r;ADSL2r	Central carbon metabolism	Central carbon metabolism	reaction name: succinate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-2.373370060067348e-14	-8.177425474583988e-14
EHJ94371_1	ARGSL	Central carbon metabolism	Central carbon metabolism	reaction name: succinate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	3.9195642316390316e-17	1.3504823767838255e-16
EHJ91121_1	TMPK	Cofactor and vitamin metabolism	Cofactor/vitamin metabolism	reaction name: thiam	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-5.0763264973817117e-17	-1.749043788637704e-16
EHJ91434_1	PDX5PS	Cofactor and vitamin metabolism	Cofactor/vitamin metabolism	reaction name: pyridox	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-7.799009020054179e-17	-2.687141635017153e-16
EHJ91640_1	DPCOAK	Cofactor and vitamin metabolism	Cofactor/vitamin metabolism	metabolite context: coenzyme	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-4.729824317846991e-17	-1.6296567702539934e-16
EHJ91955_1	DHFS	Cofactor and vitamin metabolism	Cofactor/vitamin metabolism	database annotation: folate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	1.9873252502769623e-16	6.847311509203785e-16
EHJ92173_1	NADK	Cofactor and vitamin metabolism	Cofactor/vitamin metabolism	database annotation: nad	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	1.1518534021949029e-12	3.968700672758781e-12
EHJ93789_1	THDPS	Cofactor and vitamin metabolism	Cofactor/vitamin metabolism	metabolite context: coenzyme	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-9.084813442953406e-17	-3.130164407574187e-16
EHJ93881_1	MOHMT	Cofactor and vitamin metabolism	Cofactor/vitamin metabolism	metabolite context: folate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	0.0	0.0
EHJ93896_1	DHPS;FOLD3	Cofactor and vitamin metabolism	Cofactor/vitamin metabolism	curated reaction-ID mapping;reaction name: pteroate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-1.1825988136178284e-16	-4.074633714902769e-16
EHJ93904_1	DHDPRx_r;DHDPRy	Cofactor and vitamin metabolism	Cofactor/vitamin metabolism	reaction name: nad	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	0.0	0.0
EHJ94039_1	TMPPP	Cofactor and vitamin metabolism	Cofactor/vitamin metabolism	reaction name: thiam	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	1.987325250276962e-16	6.847311509203783e-16
EHJ94084_1	PNTK	Cofactor and vitamin metabolism	Cofactor/vitamin metabolism	database annotation: pantoth	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-1.0112110011566051e-16	-3.4841185284030053e-16
EHJ94192_1	MTHFR2;MTHFR3	Cofactor and vitamin metabolism	Cofactor/vitamin metabolism	reaction name: folate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-4.729824317846991e-17	-1.6296567702539934e-16
EHJ94730_1	SUCBZL	Cofactor and vitamin metabolism	Cofactor/vitamin metabolism	metabolite context: coenzyme	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	3.919564231639031e-17	1.3504823767838252e-16
EHJ91328_1	HDH;HISTD	Energy metabolism / respiration	Energy metabolism/respiration	reaction name: hydrogenase	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	1.0068574115418269e-17	3.4691182740302155e-17
EHJ91775_1	PDX5POi;PYAM5PO;PYDXNO;PYDXO	Energy metabolism / respiration	Energy metabolism/respiration	database annotation: oxidase;reaction name: oxidase	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	1.4567613136466888e-16	5.019258175130442e-16
EHJ91962_1	ASAD	Energy metabolism / respiration	Energy metabolism/respiration	database annotation: hydrogenase	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-4.9683131256924064e-17	-1.7118278773009462e-16
EHJ91963_1	IPMD	Energy metabolism / respiration	Energy metabolism/respiration	reaction name: hydrogenase	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	0.0	0.0
EHJ92310_1	ASPO1;ASPO3;ASPO4;ASPO5;ASPO6	Amino acid metabolism;Energy metabolism / respiration	Energy metabolism/respiration	database annotation: aspartate;reaction name: oxidase	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	4.4729313850439103e-14	1.5411445382894214e-13
EHJ92927_1	QULNS	Energy metabolism / respiration	Energy metabolism/respiration	database annotation: quinol	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	3.3860812291466615e-13	1.1666712818248342e-12
EHJ93117_1	PERD	Energy metabolism / respiration	Energy metabolism/respiration	reaction name: hydrogenase	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-4.968313125692405e-17	-1.7118278773009455e-16
EHJ93122_1	DHORD2;DHORD5;DHORDfum	Central carbon metabolism;Energy metabolism / respiration	Energy metabolism/respiration	reaction name: fumarate;reaction name: quinone	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-2.1655592379805656e-15	-7.461415131730638e-15
EHJ93669_1	SHK3Dr	Energy metabolism / respiration	Energy metabolism/respiration	database annotation: hydrogenase	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-2.888637795280001e-17	-9.95277588245067e-17
EHJ93825_1	HSDy;LSERDHr	Energy metabolism / respiration	Energy metabolism/respiration	reaction name: hydrogenase	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-7.799009020054179e-17	-2.687141635017153e-16
EHJ94719_1	DHNAOT4	Energy metabolism / respiration	Energy metabolism/respiration	metabolite context: quinol	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-1.987325250276962e-16	-6.847311509203783e-16
EHJ94867_1	ABUTD;ALDD1;ALDD19xr;ALDD2x;ALDD3;ALDD31_1;ALDD4;BETALDHx;BETALDHy;GCALDD;GLXO1;GLYALDDr;LCADi	Energy metabolism / respiration	Energy metabolism/respiration	database annotation: hydrogenase;reaction name: hydrogenase;reaction name: oxidase	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	2.6322858398937988e-17	9.069517495692788e-17
EHJ92316_1	OMPDC	Inorganic ion metabolism	Inorganic ion metabolism	reaction name: phosphate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-2.234151612034248e-15	-7.697749547667803e-15
EHJ92333_1	IGPS	Inorganic ion metabolism	Inorganic ion metabolism	reaction name: phosphate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	0.0	0.0
EHJ92341_1	RPE	Inorganic ion metabolism	Inorganic ion metabolism	reaction name: phosphate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	1.1653291384462651e-14	4.015131202394576e-14
EHJ92759_1	MECDPS	Inorganic ion metabolism	Inorganic ion metabolism	reaction name: phosphate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	8.075306234968536e-17	2.782339595158825e-16
EHJ92977_1	APPAT;PTPATi	Inorganic ion metabolism	Inorganic ion metabolism	reaction name: phosphate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	0.0	0.0
EHJ93021_1	IGPDH	Inorganic ion metabolism	Inorganic ion metabolism	reaction name: phosphate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	0.0	0.0
EHJ93024_1	IG3PS	Inorganic ion metabolism	Inorganic ion metabolism	reaction name: phosphate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	0.0	0.0
EHJ93579_1	DHQS	Inorganic ion metabolism	Inorganic ion metabolism	metabolite context: phosphate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-1.958520034666397e-17	-6.748063394509005e-17
EHJ93953_1	OCTDPS	Inorganic ion metabolism	Inorganic ion metabolism	reaction name: phosphate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-2.420642348340106e-16	-8.340301724212147e-16
EHJ94196_1	TKT1;TKT2	Inorganic ion metabolism	Inorganic ion metabolism	metabolite context: phosphate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-1.2386394137067362e-15	-4.2677211050609676e-15
