N_fraction_qNref,O2_fraction_qO2ref,mu_max_h-1,PHB_flux_mmol_gDW_h,PHB_capacity_g_gDW_h
0.11764705882352941,0.2571428571428572,0.03380376964058285,0.8654870037200544,0.29803910460103794
0.11764705882352941,0.3261904761904762,0.03380376964058285,0.8654870037200544,0.29803910460103794
0.11764705882352941,0.3952380952380952,0.033803769640582855,0.8654870037200544,0.29803910460103794
0.11764705882352941,0.4642857142857143,0.033803769640582855,0.8654870037200544,0.29803910460103794
0.11764705882352941,0.5333333333333334,0.033803769640582855,0.8654870037200544,0.29803910460103794
0.11764705882352941,0.6023809523809525,0.03380376964058285,0.8654870037201715,0.29803910460107824
0.11764705882352941,0.6714285714285715,0.03380376964058285,0.8654870037201715,0.29803910460107824
0.11764705882352941,0.7404761904761905,0.03380376964058285,0.8654870037201715,0.29803910460107824
0.11764705882352941,0.8095238095238096,0.03380376964058285,0.8654870037202267,0.2980391046010973
0.11764705882352941,0.8785714285714287,0.03380376964058285,0.8654870037202267,0.2980391046010973
0.11764705882352941,0.9476190476190477,0.03380376964058285,0.8654870037196334,0.29803910460089295
0.11764705882352941,1.0166666666666668,0.03380376964058285,0.8654870037196334,0.29803910460089295
0.11764705882352941,1.0857142857142859,0.03380376964058285,0.8654870037196334,0.29803910460089295
0.11764705882352941,1.1547619047619049,0.03380376964058285,0.8654870037196334,0.29803910460089295
0.11764705882352941,1.223809523809524,0.033803769640582786,0.865487003719545,0.2980391046008625
0.11764705882352941,1.292857142857143,0.033803769640582786,0.865487003719545,0.2980391046008625
0.11764705882352941,1.361904761904762,0.0338037696405828,0.8654870037196024,0.2980391046008823
0.11764705882352941,1.430952380952381,0.03380376964058279,0.8654870037198606,0.2980391046009712
0.11764705882352941,1.5,0.03380376964058279,0.8654870037198602,0.29803910460097105
0.18529411764705883,0.05,0.053240937183928465,0.7738548918719647,0.2664846705650297
0.18529411764705883,0.11904761904761905,0.053240937183928465,0.8068886171670044,0.27786016420762966
0.18529411764705883,0.1880952380952381,0.05324093718392845,0.8399223424614365,0.28923565785002026
0.18529411764705883,0.2571428571428572,0.05324093718392845,0.8600170308588042,0.2961554647465378
0.18529411764705883,0.3261904761904762,0.05324093718392845,0.8600170308588042,0.2961554647465378
0.18529411764705883,0.3952380952380952,0.05324093718392847,0.8600170308588042,0.2961554647465378
0.18529411764705883,0.4642857142857143,0.05324093718392847,0.8600170308587725,0.2961554647465269
0.18529411764705883,0.5333333333333334,0.05324093718392847,0.8600170308591223,0.29615546474664733
0.18529411764705883,0.6023809523809525,0.05324093718392847,0.8600170308588976,0.29615546474656995
0.18529411764705883,0.6714285714285715,0.05324093718392847,0.8600170308588976,0.29615546474656995
0.18529411764705883,0.7404761904761905,0.05324093718392847,0.8600170308588976,0.29615546474656995
0.18529411764705883,0.8095238095238096,0.05324093718392847,0.8600170308588885,0.29615546474656684
0.18529411764705883,0.8785714285714287,0.05324093718392847,0.8600170308589904,0.2961554647466019
0.18529411764705883,0.9476190476190477,0.05324093718392847,0.8600170308589904,0.2961554647466019
0.18529411764705883,1.0166666666666668,0.05324093718392847,0.8600170308586003,0.2961554647464676
0.18529411764705883,1.0857142857142859,0.05324093718392847,0.8600170308586234,0.2961554647464755
0.18529411764705883,1.1547619047619049,0.05324093718392847,0.8600170308597076,0.2961554647468489
0.18529411764705883,1.223809523809524,0.05324093718392846,0.8600170308597076,0.2961554647468489
0.18529411764705883,1.292857142857143,0.05324093718392846,0.8600170308597076,0.2961554647468489
0.18529411764705883,1.361904761904762,0.053240937183928465,0.8600170308597076,0.2961554647468489
0.18529411764705883,1.430952380952381,0.05324093718392845,0.8600170308585725,0.29615546474645804
0.18529411764705883,1.5,0.05324093718392845,0.8600170308585725,0.29615546474645804
0.2529411764705882,0.05,0.0726781047272633,0.7665291795355289,0.26396198826485473
0.2529411764705882,0.11904761904761905,0.0726781047272633,0.7995629048298698,0.27533748190721397
0.2529411764705882,0.1880952380952381,0.0726781047272633,0.8325966301242107,0.2867129755495732
0.2529411764705882,0.2571428571428572,0.0726781047272633,0.8545470579969106,0.29427182489181614
0.2529411764705882,0.3261904761904762,0.0726781047272633,0.8545470579969106,0.29427182489181614
0.2529411764705882,0.3952380952380952,0.0726781047272633,0.8545470579969106,0.29427182489181614
0.2529411764705882,0.4642857142857143,0.0726781047272633,0.8545470579969106,0.29427182489181614
0.2529411764705882,0.5333333333333334,0.0726781047272633,0.8545470579969106,0.29427182489181614
0.2529411764705882,0.6023809523809525,0.0726781047272633,0.8545470579969106,0.29427182489181614
0.2529411764705882,0.6714285714285715,0.0726781047272633,0.8545470579969106,0.29427182489181614
0.2529411764705882,0.7404761904761905,0.0726781047272632,0.8545470579969114,0.2942718248918164
0.2529411764705882,0.8095238095238096,0.0726781047272633,0.8545470579967409,0.2942718248917577
0.2529411764705882,0.8785714285714287,0.0726781047272633,0.8545470579967409,0.2942718248917577
0.2529411764705882,0.9476190476190477,0.0726781047272633,0.8545470579972388,0.29427182489192916
0.2529411764705882,1.0166666666666668,0.0726781047272633,0.8545470579972388,0.29427182489192916
0.2529411764705882,1.0857142857142859,0.0726781047272633,0.8545470579972388,0.29427182489192916
0.2529411764705882,1.1547619047619049,0.0726781047272633,0.8545470579972388,0.29427182489192916
0.2529411764705882,1.223809523809524,0.0726781047272633,0.8545470579967948,0.2942718248917762
0.2529411764705882,1.292857142857143,0.0726781047272633,0.8545470579967714,0.29427182489176823
0.2529411764705882,1.361904761904762,0.07267810472726328,0.8545470579967948,0.2942718248917762
0.2529411764705882,1.430952380952381,0.07267810472726328,0.8545470579963425,0.29427182489162046
0.2529411764705882,1.5,0.07267810472726328,0.8545470579962863,0.29427182489160114
0.3205882352941176,0.05,0.09211527227059814,0.7592034671990419,0.261439305964662
0.3205882352941176,0.11904761904761905,0.09211527227059814,0.7922371924940705,0.27281479960725813
0.3205882352941176,0.1880952380952381,0.09211527227059814,0.8252709177873768,0.2841902932492611
0.3205882352941176,0.2571428571428572,0.09211527227059814,0.8490770851352416,0.2923881850371718
0.3205882352941176,0.3261904761904762,0.09211527227059814,0.8490770851352416,0.2923881850371718
0.3205882352941176,0.3952380952380952,0.09211527227059814,0.8490770851352416,0.2923881850371718
0.3205882352941176,0.4642857142857143,0.09211527227059814,0.8490770851353557,0.2923881850372111
0.3205882352941176,0.5333333333333334,0.09211527227059814,0.849077085134907,0.29238818503705655
0.3205882352941176,0.6023809523809525,0.09211527227059814,0.8490770851350247,0.29238818503709707
0.3205882352941176,0.6714285714285715,0.09211527227059814,0.8490770851350247,0.29238818503709707
0.3205882352941176,0.7404761904761905,0.09211527227059814,0.8490770851350247,0.29238818503709707
0.3205882352941176,0.8095238095238096,0.092115272270598,0.8490770851350247,0.29238818503709707
0.3205882352941176,0.8785714285714287,0.092115272270598,0.8490770851351462,0.292388185037139
0.3205882352941176,0.9476190476190477,0.092115272270598,0.8490770851351462,0.292388185037139
0.3205882352941176,1.0166666666666668,0.092115272270598,0.8490770851353069,0.29238818503719427
0.3205882352941176,1.0857142857142859,0.09211527227059814,0.8490770851353557,0.2923881850372111
0.3205882352941176,1.1547619047619049,0.09211527227059814,0.8490770851355806,0.29238818503728853
0.3205882352941176,1.223809523809524,0.09211527227059814,0.8490770851355806,0.29238818503728853
0.3205882352941176,1.292857142857143,0.09211527227059813,0.8490770851355806,0.29238818503728853
0.3205882352941176,1.361904761904762,0.09211527227059813,0.8490770851355806,0.29238818503728853
0.3205882352941176,1.430952380952381,0.09211527227059813,0.8490770851351378,0.29238818503713604
0.3205882352941176,1.5,0.09211527227059813,0.8490770851351378,0.29238818503713604
