GAM	O2_fraction_of_baseline_qref	O2_capacity_mmol_gDW_h	mu_max_h_1	PHB_flux_mmol_lump_gDW_h	PHB_mass_rate_g_gDW_h
60.0	1.5	7.176292046701639	0.2831321452338768	0.7937920398442584	0.2733502268407688
70.0	0.05	0.23920973489005465	0.09643609589158683	0.7537054851313509	0.259546020859832
70.0	0.1	0.4784194697801093	0.1050142490318046	0.7740492232027499	0.266551590502099
70.0	0.15	0.7176292046701639	0.11359240217202746	0.7943929612744435	0.27355716014446735
70.0	0.2	0.9568389395602186	0.1221705553122452	0.8147366993467448	0.280562729787045
70.0	0.25	1.1960486744502732	0.13074870845246803	0.8350804374176957	0.2875682994291577
70.0	0.3	1.4352584093403278	0.1393268615926858	0.8337942805784105	0.2871253984599815
70.0	0.35	1.6744681442303824	0.14790501473290865	0.8312573040947314	0.28625176523806173
70.0	0.4	1.9136778791204372	0.1564831678731264	0.8287203276103472	0.2853781320158992
70.0	0.45	2.152887614010492	0.16506132101334925	0.8261833511272572	0.28450449879418227
70.0	0.5	2.3920973489005464	0.17363947415356953	0.8236463746428369	0.2836308655720073
70.0	0.55	2.631307083790601	0.18221762729378987	0.8211093981588691	0.2827572323499882
70.0	0.6	2.8705168186806556	0.1907957804340076	0.8185724216745299	0.2818835991278411
70.0	0.65	3.1097265535707104	0.19937393357423047	0.8160354451906119	0.2810099659058391
70.0	0.7	3.3489362884607647	0.20795208671445078	0.8134984687074488	0.28013633268409704
70.0	0.75	3.5881460233508196	0.21653023985467107	0.8109614922229601	0.2792626994618985
70.0	0.8	3.8273557582408744	0.2239004551367898	0.8087817616277435	0.27851208743412975
70.0	0.85	4.066565493130929	0.23032881255168186	0.8068805841439767	0.2778573979558198
70.0	0.9	4.305775228020984	0.23675716996658325	0.8049794066628334	0.27720270847841333
70.0	0.95	4.5449849629110375	0.24318552738147994	0.8030782291796692	0.2765480190003109
70.0	1.0	4.784194697801093	0.24961388479637667	0.8011770516969338	0.2758933295223561
70.0	1.05	5.023404432691148	0.2560422422112718	0.7992758742149844	0.275238640044672
70.0	1.1	5.262614167581202	0.26247059962616853	0.7973746967321501	0.2745839505666832
70.0	1.15	5.501823902471256	0.2688989570410668	0.7954735192497242	0.27392926108883503
70.0	1.2	5.741033637361311	0.27212536819534683	0.7945193127795039	0.27360067054875
70.0	1.25	5.9802433722513655	0.27212536819534683	0.7945193127795049	0.2736006705487503
70.0	1.3	6.219453107141421	0.27212536819534683	0.7945193127795039	0.27360067054875
70.0	1.35	6.458662842031476	0.27212536819535754	0.7945193127795024	0.2736006705487494
70.0	1.4	6.6978725769215295	0.27212536819535754	0.7945193127792565	0.27360067054866477
70.0	1.45	6.937082311811584	0.27212536819535754	0.7945193127790011	0.27360067054857684
70.0	1.5	7.176292046701639	0.27212536819535754	0.7945193127797533	0.27360067054883586
80.0	0.05	0.23920973489005465	0.08850182237747332	0.754801666260252	0.25992350179338036
80.0	0.1	0.4784194697801093	0.09637420852628413	0.7752429114889223	0.2669626490003253
80.0	0.15	0.7176292046701639	0.10424659467509959	0.7956841567182494	0.2740017962074964
80.0	0.2	0.9568389395602186	0.11211898082391038	0.8161254019471443	0.28104094341451863
80.0	0.25	1.1960486744502732	0.11999136697272582	0.8365666471758687	0.28808009062148215
80.0	0.3	1.4352584093403278	0.1278637531215366	0.836042837809896	0.28789971162821576
80.0	0.35	1.6744681442303824	0.13573613927035208	0.8336443017396773	0.2870737517470753
80.0	0.4	1.9136778791204372	0.14360852541916286	0.8312457656681735	0.28624779186549226
80.0	0.45	2.152887614010492	0.15148091156797833	0.8288472295971528	0.28542183198407556
80.0	0.5	2.3920973489005464	0.1593532977167914	0.8264486935266153	0.2845958721028253
80.0	0.55	2.631307083790601	0.16722568386560455	0.8240501574551968	0.28376991222127157
80.0	0.6	2.8705168186806556	0.17509807001441535	0.8216516213839489	0.28294395233977665
80.0	0.65	3.1097265535707104	0.1829704561632308	0.8192530853128713	0.28211799245834035
80.0	0.7	3.3489362884607647	0.19084284231204393	0.8168545492431885	0.2812920325773844
80.0	0.75	3.5881460233508196	0.19871522846085704	0.814456013171356	0.28046607269568813
80.0	0.8	3.8273557582408744	0.20658761460966782	0.8120574771006597	0.27964011281438317
80.0	0.85	4.066565493130929	0.21291486051308028	0.8101297099359681	0.27897626691355
80.0	0.9	4.305775228020984	0.21885720357975377	0.808319213865037	0.27835280448656413
80.0	0.95	4.5449849629110375	0.22479954664642582	0.8065087177942512	0.27772934205962835
80.0	1.0	4.784194697801093	0.23074188971309642	0.8046982217234907	0.2771058796327013
80.0	1.05	5.023404432691148	0.23668423277976558	0.8028877256523627	0.2764824172056476
80.0	1.1	5.262614167581202	0.24262657584643763	0.8010772295811688	0.2758589547785713
80.0	1.15	5.501823902471256	0.2485689189131082	0.7992667335108489	0.2752354923517959
80.0	1.2	5.741033637361311	0.25451126197977736	0.7974562374398905	0.27461202992480066
80.0	1.25	5.9802433722513655	0.26045360504644505	0.7956457413686561	0.2739885674977104
80.0	1.3	6.219453107141421	0.2619423457272183	0.7951921561207086	0.27383237088172724
80.0	1.35	6.458662842031476	0.2619423457272183	0.79519215612091	0.27383237088179657
80.0	1.4	6.6978725769215295	0.2619423457272183	0.7951921561202254	0.2738323708815608
80.0	1.45	6.937082311811584	0.2619423457272183	0.7951921561204192	0.27383237088162754
80.0	1.5	7.176292046701639	0.2619423457272183	0.7951921561204192	0.27383237088162754
100.0	0.05	0.23920973489005465	0.07599659290549553	0.7565293602351302	0.26051845049056943
100.0	0.1	0.4784194697801093	0.08275661783237565	0.7771242867533816	0.2676105193863945
100.0	0.15	0.7176292046701639	0.08951664275925976	0.7977192132713375	0.2747025882821178
100.0	0.2	0.9568389395602186	0.09627666768613986	0.8183141397896896	0.2817946571779775
100.0	0.25	1.1960486744502732	0.10303669261302396	0.8389090663072113	0.28888672607355126
100.0	0.3	1.4352584093403278	0.10979671753990408	0.8395867948097457	0.28912010866068405
100.0	0.35	1.6744681442303824	0.1165567424667882	0.8374064550394955	0.28836928685740065
100.0	0.4	1.9136778791204372	0.12331676739366829	0.8352261152695504	0.28761846505422234
100.0	0.45	2.152887614010492	0.13007679232055241	0.8330457754998715	0.28686764325113573
100.0	0.5	2.3920973489005464	0.13683681724743452	0.8308654357304268	0.2861168214481298
100.0	0.55	2.631307083790601	0.14359684217431662	0.8286850959611737	0.28536599964518977
