state	O2_fraction	O2_capacity_mmol_gDW_h	condition_mu_max_h_1	residual_growth_requirement_h_1	optimal_PHB_flux	optimal_PHB_mass_rate	reaction_id	reaction_name	flux	reported_flux
Low O2	0.05	0.23920973489005465	0.11264448807554635	0.011264448807554636	0.7514661706436939	0.25877489052286246	R_CS	Citrate synthase	0.013378867471324891	0.013378867471324891
Low O2	0.05	0.23920973489005465	0.11264448807554635	0.011264448807554636	0.7514661706436939	0.25877489052286246	R_ACACT1r	Acetyl-CoA C-acetyltransferase	3.0058646825747757	3.0058646825747757
Low O2	0.05	0.23920973489005465	0.11264448807554635	0.011264448807554636	0.7514661706436939	0.25877489052286246	R_AACOAR_syn	Acetoacetyl CoA reductase	-0.0	-0.0
Low O2	0.05	0.23920973489005465	0.11264448807554635	0.011264448807554636	0.7514661706436939	0.25877489052286246	R_HBCE	3 hydroxyacyl CoA dehydratase  3 hydroxybutanoyl CoA	3.0058646825747757	3.0058646825747757
Low O2	0.05	0.23920973489005465	0.11264448807554635	0.011264448807554636	0.7514661706436939	0.25877489052286246	R_HACD1	3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)	3.0058646825747757	3.0058646825747757
Low O2	0.05	0.23920973489005465	0.11264448807554635	0.011264448807554636	0.7514661706436939	0.25877489052286246	R_PHB_SYN_HB	Poly(3-hydroxybutyrate) synthase	0.7514661706436939	0.7514661706436939
Low O2	0.05	0.23920973489005465	0.11264448807554635	0.011264448807554636	0.7514661706436939	0.25877489052286246	R_DM_phb_c	PHB intracellular accumulation demand	0.7514661706436939	0.7514661706436939
Low O2	0.05	0.23920973489005465	0.11264448807554635	0.011264448807554636	0.7514661706436939	0.25877489052286246	R_ATPS4rpp	ATP synthase (four protons for one ATP) (periplasm)	0.9519530285543422	0.9519530285543422
Low O2	0.05	0.23920973489005465	0.11264448807554635	0.011264448807554636	0.7514661706436939	0.25877489052286246	R_CYO1_KT	Ubiquinol   cytochrome c reductase	0.4783718780914186	0.4783718780914186
Low O2	0.05	0.23920973489005465	0.11264448807554635	0.011264448807554636	0.7514661706436939	0.25877489052286246	R_CYTCAA3pp	Cytochrome c oxidase aa3  2 protons1 electron    periplasm	0.4783718780914186	0.4783718780914186
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.015272415576346161	0.8319955738200966	0.2865059958006885	R_EX_glc__D_e	EX_glc__D_e	-2.8	2.8
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.015272415576346161	0.8319955738200966	0.2865059958006885	R_EX_o2_e	EX_o2_e	-1.1960486744502732	1.1960486744502732
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.015272415576346161	0.8319955738200966	0.2865059958006885	R_Growth	Biomass reaction (VB LC1 V2.2 same components)	0.015272415576346161	0.015272415576346161
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.015272415576346161	0.8319955738200966	0.2865059958006885	R_GLCabc	D-glucose transport via ABC system	2.8	2.8
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.015272415576346161	0.8319955738200966	0.2865059958006885	R_GLCDpp	Glucose dehydrogenase (ubiquinone-8 as acceptor) (periplasm)	0.0	0.0
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.015272415576346161	0.8319955738200966	0.2865059958006885	R_EX_glcn_e	EX_glcn_e	-0.0	-0.0
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.015272415576346161	0.8319955738200966	0.2865059958006885	R_PFK	Phosphofructokinase	0.226936378445326	0.226936378445326
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.015272415576346161	0.8319955738200966	0.2865059958006885	R_GAPD	Glyceraldehyde-3-phosphate dehydrogenase	2.987221904041768	2.987221904041768
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.015272415576346161	0.8319955738200966	0.2865059958006885	R_ENO	Enolase	2.971089151525381	2.971089151525381
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.015272415576346161	0.8319955738200966	0.2865059958006885	R_PYK	Pyruvate kinase	0.0	0.0
